,Data,Vencimento,DU,Delta_1,Delta_10,Delta_25,Delta_37,Delta_50,Delta_63,Delta_75,Delta_90,Delta_99,Ibov_fut,DI_fut,CDI,SELIC,Last,Open,High,Close
0,2016-11-04,2016-11-16,7,30.06334229439229,30.22362385264293,31.182266273484398,32.012870654239805,33.02551107222762,34.252901835546325,35.758645712650036,39.07441167593872,47.05520267994071,62208.15,13.878,13.88,13.9,61598.39,61749.23,62698.63,61491.4
1,2016-11-04,2016-12-14,27,25.490524741830644,23.617376907533288,23.717397125996428,24.14773389972987,24.82783288800781,25.77797129115768,27.059577078300123,30.15889660623998,38.53087758136326,62323.0,13.774000000000001,13.88,13.9,61598.39,61749.23,62698.63,61491.4
2,2016-11-04,2017-01-18,52,21.147504228283644,21.237033282741326,21.97353544790532,22.551690465188585,23.28560683210526,24.279255915826077,25.70433958720969,29.188666505506287,31.507212083088252,63043.00554580344,13.625120456784146,13.88,13.9,61598.39,61749.23,62698.63,61491.4
3,2016-11-04,2017-02-15,72,20.723144254880022,20.740816953912148,21.4448596643706,21.99809460318648,22.699436102120675,23.647821422746354,25.00877303038579,28.387313453531537,30.79230757750339,63625.0,13.525,13.88,13.9,61598.39,61749.23,62698.63,61491.4
4,2016-11-04,2017-04-12,110,25.01289666455705,22.37149657903501,22.344236745229868,22.57951919924381,22.974315193805534,23.56996305461507,24.464942908161913,26.895476371355468,29.833983365097083,64688.0,13.276,13.88,13.9,61598.39,61749.23,62698.63,61491.4
5,2016-11-04,2017-06-14,152,25.172154779429555,22.385040841545568,22.310718072803866,22.523562168044013,22.894340224538606,23.46033272369823,24.315934609621767,26.67759515523357,29.752960449550304,65800.0,12.977,13.88,13.9,61598.39,61749.23,62698.63,61491.4
6,2016-11-04,2017-08-16,196,25.31813076988329,22.401522996224237,22.283168930371183,22.475576559718316,22.824838010110398,23.3645397680084,24.18527178659133,26.48242432143888,29.674804127134852,66880.0,12.690999999999999,13.88,13.9,61598.39,61749.23,62698.63,61491.4
7,2016-11-04,2017-10-18,239,25.446410766162447,22.419640877051286,22.26169306135489,22.436152280788523,22.7668038162301,23.283994284338412,24.07493770635484,26.314595895491948,29.603355828876392,67965.0,12.437999999999999,13.88,13.9,61598.39,61749.23,62698.63,61491.4
8,2016-11-04,2017-12-13,277,25.55072990799091,22.43709219023004,22.24618289506907,22.40598892308299,22.72164648562467,23.220865565981512,23.988090826933327,26.180518127221152,29.543378951493672,68916.0,12.249,13.88,13.9,61598.39,61749.23,62698.63,61491.4
9,2016-11-04,2018-02-14,318,25.655538440332734,22.457257039895925,22.232403428806723,22.377374814459472,22.67803491731685,23.15943096760748,23.90321002241762,26.04778070133762,29.48135344922776,69950.0,12.085,13.88,13.9,61598.39,61749.23,62698.63,61491.4
10,2016-11-04,2018-04-18,362,25.76054122720962,22.480275360903764,22.220458604751915,22.350401874737152,22.63605363552416,23.09977305078064,23.82038367191854,25.91661289530748,29.41735166750732,71067.0,11.940999999999999,13.88,13.9,61598.39,61749.23,62698.63,61491.4
11,2016-11-04,2018-06-13,400,25.845817057124812,22.50119651656861,22.212160212056922,22.329726737025343,22.603155879896807,23.052601644494647,23.75457412929791,25.811210806550665,29.36387161782477,72037.0,11.832,13.88,13.9,61598.39,61749.23,62698.63,61491.4
12,2016-11-07,2016-11-16,6,23.22800417586285,26.435410229029173,28.58740874735456,29.908932740667826,31.269097069663506,32.713867826086734,34.300775423872736,37.372230950351096,43.555975208212566,64091.58,13.883,13.88,13.9,64051.65,61600.74,64193.01,61600.74
