,Data,Vencimento,DU,Delta_1,Delta_10,Delta_25,Delta_37,Delta_50,Delta_63,Delta_75,Delta_90,Delta_99,Ibov_fut,DI_fut,CDI,SELIC,Last,Open,High,Close
0,2016-11-04,2016-11-16,7,27.70103056904376,29.19496234993877,30.572679572181467,31.52714245378524,32.58028573132897,33.76670581045025,35.139560378252646,37.97086693065119,44.21246803725785,62208.15,13.878,13.88,13.9,61598.39,61749.23,62698.63,61491.4
1,2016-11-04,2016-12-14,27,21.785583068077663,22.09328548792315,22.799277575337033,23.375190292264648,24.060519405675112,24.87711651900581,25.86546418889877,28.00851790584261,33.05375029656282,62323.0,13.774000000000001,13.88,13.9,61598.39,61749.23,62698.63,61491.4
2,2016-11-04,2017-01-18,52,23.688180105527863,21.432122022015392,21.490152910046163,21.757540685539432,22.1818822035857,22.810330962820448,23.744433466163176,26.193857116886647,28.73457508510909,63043.00554580344,13.625120456784146,13.88,13.9,61598.39,61749.23,62698.63,61491.4
3,2016-11-04,2017-02-15,72,23.117302356695298,20.847715175332283,20.881691600516213,21.130363224656325,21.530453973537075,22.125784568161176,23.013256727790584,25.36452799460677,27.91334217996337,63625.0,13.525,13.88,13.9,61598.39,61749.23,62698.63,61491.4
4,2016-11-04,2017-04-12,110,22.869159504480194,20.510828304977625,20.505800600731167,20.731283632558192,21.103859668328365,21.66319120779009,22.501313336324536,24.75913492700783,27.391927298740487,64688.0,13.276,13.88,13.9,61598.39,61749.23,62698.63,61491.4
5,2016-11-04,2017-06-14,152,23.03296193334973,20.54680742610799,20.502397754953567,20.70912395716732,21.06161507370416,21.59614495256392,22.401457023624975,24.604893457071746,27.360811733815364,65800.0,12.977,13.88,13.9,61598.39,61749.23,62698.63,61491.4
6,2016-11-04,2017-08-16,196,23.17348045733525,20.57396416981646,20.492829975755747,20.68240092772612,21.016744195985673,21.529030627498287,22.30488602568585,24.456168673677894,27.31728117709281,66880.0,12.690999999999999,13.88,13.9,61598.39,61749.23,62698.63,61491.4
7,2016-11-04,2017-10-18,239,23.292684753105284,20.59648789865605,20.482448225811826,20.65693846354407,20.97552434341197,21.468650753777187,22.219149089032715,24.32334016892128,27.271380961756247,67965.0,12.437999999999999,13.88,13.9,61598.39,61749.23,62698.63,61491.4
8,2016-11-04,2017-12-13,277,23.38779677331331,20.614999351164442,20.47365613760121,20.635840495287994,20.9417108701382,21.419490346888786,22.14971013318064,24.214915946322442,27.23009334149539,68916.0,12.249,13.88,13.9,61598.39,61749.23,62698.63,61491.4
9,2016-11-04,2018-02-14,318,23.482267902581953,20.63438087403484,20.465007381008032,20.61474771888243,20.907892234426978,21.37042242624376,22.080533085463685,24.106017358826648,27.18561917106855,69950.0,12.085,13.88,13.9,61598.39,61749.23,62698.63,61491.4
10,2016-11-04,2018-04-18,362,23.576134021277536,20.655007859895704,20.456853295909237,20.594007896506817,20.874418779676496,21.321807162321427,22.011999848600684,23.997175160620827,27.13838685434895,71067.0,11.940999999999999,13.88,13.9,61598.39,61749.23,62698.63,61491.4
11,2016-11-04,2018-06-13,400,23.65204705783982,20.672907242696965,20.450772516815046,20.577580872150065,20.84762749678703,21.282779878129087,21.95692361639886,23.908968408541114,27.09815591515509,72037.0,11.832,13.88,13.9,61598.39,61749.23,62698.63,61491.4
12,2016-11-07,2016-11-16,6,21.90016853411616,25.323921476954087,27.664372926730085,29.117789210966954,30.626007796235594,32.24124338081725,34.030510325727555,37.536549950510505,44.754418679796885,64091.58,13.883,13.88,13.9,64051.65,61600.74,64193.01,61600.74
13,2016-11-07,2016-12-14,26,21.46986992984341,20.851492006979424,21.146175966114875,21.5249271939242,22.042064207939333,22.71261713922464,23.57383158673865,25.55471831328413,30.549838620881854,65029.0,13.770999999999999,13.88,13.9,64051.65,61600.74,64193.01,61600.74
14,2016-11-07,2017-01-18,51,21.956170905032202,19.901158805612727,19.966857203221807,20.221219213235603,20.622031566053927,21.214164381854054,22.092872676439587,24.38342291192385,26.700725554255765,65778.32280376002,13.614875004051207,13.88,13.9,64051.65,61600.74,64193.01,61600.74
15,2016-11-07,2017-02-15,71,21.530109751620326,19.45300532660445,19.496914677724487,19.73513814571627,20.11531935124368,20.679458042468468,21.518996690538188,23.730112050034233,26.06670419336297,66384.0,13.511,13.88,13.9,64051.65,61600.74,64193.01,61600.74
16,2016-11-07,2017-04-12,109,21.56276992638596,19.374719527052505,19.38226121382456,19.601332284828366,19.95991349705854,20.49656739240164,21.299294993259537,23.449979332399373,25.897908589395236,67494.0,13.259,13.88,13.9,64051.65,61600.74,64193.01,61600.74
17,2016-11-07,2017-06-14,151,21.697036952537022,19.39568975882803,19.36844749202828,19.570680146482715,19.911064798915397,20.425124757493904,21.197921238581337,23.29979634403572,25.858239692752253,68648.0,12.945,13.88,13.9,64051.65,61600.74,64193.01,61600.74
18,2016-11-07,2017-08-16,195,21.81502987950808,19.412633583103496,19.353070277203688,19.539972338608507,19.863991553609672,20.35787912362139,21.10392640299324,23.15934130412643,25.812889918743178,69770.0,12.655,13.88,13.9,64051.65,61600.74,64193.01,61600.74
19,2016-11-07,2017-10-18,238,21.916583452257328,19.427582396342395,19.33914399981627,19.512611311312007,19.822460349568644,20.299012135528766,21.022078780042648,23.035673728227266,25.76829652738524,70896.0,12.398,13.88,13.9,64051.65,61600.74,64193.01,61600.74
20,2016-11-07,2017-12-13,276,21.99834026105237,19.440423220368086,19.328084635046483,19.490614791637928,19.789049841380397,20.251734102002963,20.956439922738358,22.93545352964429,25.729472188395448,71885.0,12.209000000000001,13.88,13.9,64051.65,61600.74,64193.01,61600.74
21,2016-11-07,2018-02-14,317,22.080107608635448,19.454300431270987,19.317479881476885,19.468971726322167,19.756000995371704,20.204919652151148,20.89142797893146,22.83521114648467,25.688447438878946,72954.0,12.04,13.88,13.9,64051.65,61600.74,64193.01,61600.74
22,2016-11-07,2018-04-18,361,22.16182770993328,19.46944159076364,19.307539840355297,19.44788968342776,19.72352205888561,20.15878331769272,20.827271987218406,22.73529768510344,25.645469277224034,74109.0,11.889000000000001,13.88,13.9,64051.65,61600.74,64193.01,61600.74
23,2016-11-07,2018-06-13,399,22.228193602786632,19.482815770083644,19.30005775036303,19.43126507244321,19.69763281890616,20.12186472296889,20.775838576591926,22.654464608567658,25.609200601466004,75108.0,11.774000000000001,13.88,13.9,64051.65,61600.74,64193.01,61600.74
