,Data do Pregao,Ativo,DU,Taxa,Fixo/Movel
258,20010102,DIxPRE,1,15.73,
259,20010102,DIxPRE,22,15.69,
260,20010102,DIxPRE,42,15.78,
261,20010102,DIxPRE,62,15.85,
262,20010102,DIxPRE,82,16.03,
263,20010102,DIxPRE,104,16.15,
264,20010102,DIxPRE,126,16.22,
265,20010102,DIxPRE,145,16.35,
266,20010102,DIxPRE,167,16.46,
267,20010102,DIxPRE,188,16.54,
268,20010102,DIxPRE,207,16.6,
269,20010102,DIxPRE,227,16.65,
270,20010102,DIxPRE,254,16.71,
271,20010102,DIxPRE,268,16.76,
272,20010102,DIxPRE,287,16.82,
273,20010102,DIxPRE,309,16.88,
274,20010102,DIxPRE,330,16.93,
275,20010102,DIxPRE,349,16.97,
276,20010102,DIxPRE,370,17.01,
277,20010102,DIxPRE,392,17.04,
278,20010102,DIxPRE,413,17.07,
279,20010102,DIxPRE,434,17.1,
280,20010102,DIxPRE,456,17.12,
281,20010102,DIxPRE,477,17.14,
282,20010102,DIxPRE,504,17.17,
283,20010102,DIxPRE,517,17.2,
284,20010102,DIxPRE,539,17.24,
285,20010102,DIxPRE,558,17.28,
286,20010102,DIxPRE,577,17.31,
287,20010102,DIxPRE,598,17.34,
288,20010102,DIxPRE,619,17.37,
289,20010102,DIxPRE,639,17.4,
290,20010102,DIxPRE,661,17.43,
291,20010102,DIxPRE,683,17.46,
292,20010102,DIxPRE,704,17.49,
293,20010102,DIxPRE,725,17.51,
294,20010102,DIxPRE,754,17.54,
295,20010102,DIxPRE,767,17.57,
296,20010102,DIxPRE,787,17.61,
297,20010102,DIxPRE,807,17.65,
298,20010102,DIxPRE,828,17.69,
299,20010102,DIxPRE,993,17.93,
300,20010102,DIxPRE,1241,18.26,
258,20010103,DIxPRE,1,15.72,
259,20010103,DIxPRE,22,15.65,
260,20010103,DIxPRE,41,15.61,
261,20010103,DIxPRE,62,15.6,
262,20010103,DIxPRE,82,15.73,
263,20010103,DIxPRE,104,15.81,
264,20010103,DIxPRE,125,15.86,
265,20010103,DIxPRE,145,15.99,
266,20010103,DIxPRE,167,16.09,
267,20010103,DIxPRE,187,16.17,
268,20010103,DIxPRE,207,16.23,
269,20010103,DIxPRE,227,16.28,
270,20010103,DIxPRE,253,16.33,
271,20010103,DIxPRE,267,16.38,
272,20010103,DIxPRE,287,16.44,
273,20010103,DIxPRE,309,16.5,
274,20010103,DIxPRE,329,16.54,
275,20010103,DIxPRE,349,16.58,
276,20010103,DIxPRE,370,16.62,
277,20010103,DIxPRE,392,16.65,
278,20010103,DIxPRE,412,16.68,
