,Data do Pregao,Ativo,DU,Taxa,Fixo/Movel
871,20040102,IBOVESPA,1,22416.4,F
872,20040102,IBOVESPA,21,22673.9,F
873,20040102,IBOVESPA,39,22916.73,M
874,20040102,IBOVESPA,40,22925.54,F
875,20040102,IBOVESPA,62,23218.21,F
876,20040102,IBOVESPA,82,23487.28,F
877,20040102,IBOVESPA,102,23758.68,F
878,20040102,IBOVESPA,123,24046.82,F
879,20040102,IBOVESPA,124,24060.75,M
880,20040102,IBOVESPA,145,24356.32,F
881,20040102,IBOVESPA,166,24655.88,F
882,20040102,IBOVESPA,186,24945.0,F
883,20040102,IBOVESPA,189,24988.45,M
884,20040102,IBOVESPA,207,25256.1,F
885,20040102,IBOVESPA,227,25557.3,F
886,20040102,IBOVESPA,247,25860.96,F
887,20040102,IBOVESPA,252,25936.43,M
888,20040102,IBOVESPA,269,26197.09,F
889,20040102,IBOVESPA,289,26509.67,F
890,20040102,IBOVESPA,309,26823.86,F
891,20040102,IBOVESPA,313,26886.62,M
892,20040102,IBOVESPA,329,27145.22,F
893,20040102,IBOVESPA,351,27506.66,F
894,20040102,IBOVESPA,372,27857.83,F
895,20040102,IBOVESPA,376,27923.3,M
896,20040102,IBOVESPA,392,28201.89,F
897,20040102,IBOVESPA,414,28589.49,F
898,20040102,IBOVESPA,435,28963.14,F
899,20040102,IBOVESPA,441,29070.47,M
900,20040102,IBOVESPA,455,29325.97,F
901,20040102,IBOVESPA,474,29682.13,F
902,20040102,IBOVESPA,496,30093.24,F
903,20040102,IBOVESPA,503,30224.2,M
904,20040102,IBOVESPA,518,30517.26,F
905,20040102,IBOVESPA,538,30918.18,F
906,20040102,IBOVESPA,558,31320.95,F
907,20040102,IBOVESPA,566,31484.12,M
908,20040102,IBOVESPA,579,31750.25,F
909,20040102,IBOVESPA,598,32148.83,F
910,20040102,IBOVESPA,618,32574.26,F
911,20040102,IBOVESPA,627,32766.5,M
912,20040102,IBOVESPA,640,33047.71,F
913,20040102,IBOVESPA,662,33538.09,F
914,20040102,IBOVESPA,681,33960.6,F
915,20040102,IBOVESPA,691,34184.96,M
916,20040102,IBOVESPA,702,34432.37,F
