,Data do Pregao,Ativo,DU,Taxa,Fixo/Movel
1430,20060102,DIxPRE,1,17.94,F
1431,20060102,DIxPRE,22,17.7,F
1432,20060102,DIxPRE,42,17.53,F
1433,20060102,DIxPRE,63,17.35,F
1434,20060102,DIxPRE,81,17.21,F
1435,20060102,DIxPRE,103,16.98,F
1436,20060102,DIxPRE,124,16.84,M
1437,20060102,DIxPRE,126,16.83,F
1438,20060102,DIxPRE,144,16.73,F
1439,20060102,DIxPRE,166,16.63,F
1440,20060102,DIxPRE,187,16.56,F
1441,20060102,DIxPRE,188,16.56,M
1442,20060102,DIxPRE,207,16.49,F
1443,20060102,DIxPRE,226,16.44,F
1444,20060102,DIxPRE,249,16.39,M
1445,20060102,DIxPRE,253,16.38,F
1446,20060102,DIxPRE,268,16.33,F
1447,20060102,DIxPRE,286,16.27,F
1448,20060102,DIxPRE,308,16.21,F
1449,20060102,DIxPRE,311,16.2,M
1450,20060102,DIxPRE,329,16.15,F
1451,20060102,DIxPRE,349,16.1,F
1452,20060102,DIxPRE,369,16.06,F
1453,20060102,DIxPRE,373,16.05,M
1454,20060102,DIxPRE,391,16.0,F
1455,20060102,DIxPRE,413,15.94,F
1456,20060102,DIxPRE,432,15.9,F
1457,20060102,DIxPRE,437,15.89,M
1458,20060102,DIxPRE,453,15.84,F
1459,20060102,DIxPRE,473,15.79,F
1460,20060102,DIxPRE,494,15.74,F
1461,20060102,DIxPRE,499,15.72,M
1462,20060102,DIxPRE,513,15.7,F
1463,20060102,DIxPRE,533,15.67,F
1464,20060102,DIxPRE,554,15.65,F
1465,20060102,DIxPRE,560,15.64,M
1466,20060102,DIxPRE,574,15.63,F
1467,20060102,DIxPRE,594,15.61,F
1468,20060102,DIxPRE,615,15.59,F
1469,20060102,DIxPRE,622,15.58,M
1470,20060102,DIxPRE,636,15.56,F
1471,20060102,DIxPRE,657,15.53,F
1472,20060102,DIxPRE,679,15.5,F
1473,20060102,DIxPRE,688,15.49,M
1474,20060102,DIxPRE,701,15.47,F
1475,20060102,DIxPRE,721,15.45,F
1476,20060102,DIxPRE,743,15.42,F
1477,20060102,DIxPRE,753,15.4,M
1478,20060102,DIxPRE,763,15.39,F
1479,20060102,DIxPRE,784,15.36,F
1480,20060102,DIxPRE,803,15.33,F
1481,20060102,DIxPRE,824,15.31,F
1482,20060102,DIxPRE,875,15.25,M
1483,20060102,DIxPRE,940,15.18,M
1484,20060102,DIxPRE,990,15.13,F
1485,20060102,DIxPRE,1003,15.12,M
1486,20060102,DIxPRE,1235,14.91,F
1487,20060102,DIxPRE,1254,14.89,M
1488,20060102,DIxPRE,1484,14.75,F
1489,20060102,DIxPRE,1505,14.74,M
1490,20060102,DIxPRE,1731,14.64,F
1491,20060102,DIxPRE,1981,14.56,F
1492,20060102,DIxPRE,2230,14.5,F
1493,20060102,DIxPRE,2476,14.45,F
1494,20060102,DIxPRE,3012,14.37,F
1679,20060103,DIxPRE,1,17.94,M
1680,20060103,DIxPRE,21,17.69,M
1681,20060103,DIxPRE,22,17.68,F
1682,20060103,DIxPRE,39,17.54,M
1683,20060103,DIxPRE,42,17.5,F
1684,20060103,DIxPRE,62,17.33,F
1685,20060103,DIxPRE,80,17.2,M
1686,20060103,DIxPRE,81,17.19,F
1687,20060103,DIxPRE,103,16.96,F
1688,20060103,DIxPRE,123,16.83,M
1689,20060103,DIxPRE,125,16.82,F
1690,20060103,DIxPRE,144,16.71,F
1691,20060103,DIxPRE,166,16.62,F
1692,20060103,DIxPRE,187,16.55,F
1693,20060103,DIxPRE,206,16.49,F
1694,20060103,DIxPRE,226,16.44,F
1695,20060103,DIxPRE,248,16.39,M
1696,20060103,DIxPRE,252,16.37,F
1697,20060103,DIxPRE,267,16.32,F
1698,20060103,DIxPRE,286,16.26,F
1699,20060103,DIxPRE,308,16.2,F
1700,20060103,DIxPRE,310,16.19,M
1701,20060103,DIxPRE,329,16.14,F
1702,20060103,DIxPRE,348,16.1,F
1703,20060103,DIxPRE,369,16.06,F
1704,20060103,DIxPRE,372,16.06,M
1705,20060103,DIxPRE,391,16.0,F
1706,20060103,DIxPRE,412,15.95,F
1707,20060103,DIxPRE,432,15.9,F
1708,20060103,DIxPRE,436,15.89,M
1709,20060103,DIxPRE,453,15.84,F
1710,20060103,DIxPRE,473,15.78,F
1711,20060103,DIxPRE,493,15.73,F
1712,20060103,DIxPRE,498,15.72,M
1713,20060103,DIxPRE,513,15.69,F
1714,20060103,DIxPRE,533,15.66,F
1715,20060103,DIxPRE,553,15.63,F
1716,20060103,DIxPRE,559,15.62,M
1717,20060103,DIxPRE,573,15.61,F
1718,20060103,DIxPRE,594,15.59,F
1719,20060103,DIxPRE,615,15.57,F
1720,20060103,DIxPRE,621,15.57,M
1721,20060103,DIxPRE,635,15.55,F
1722,20060103,DIxPRE,657,15.52,F
1723,20060103,DIxPRE,679,15.5,F
1724,20060103,DIxPRE,687,15.49,M
1725,20060103,DIxPRE,700,15.47,F
1726,20060103,DIxPRE,721,15.44,F
1727,20060103,DIxPRE,743,15.42,F
1728,20060103,DIxPRE,752,15.41,M
1729,20060103,DIxPRE,763,15.4,F
1730,20060103,DIxPRE,783,15.38,F
1731,20060103,DIxPRE,803,15.36,F
1732,20060103,DIxPRE,813,15.35,M
1733,20060103,DIxPRE,824,15.34,F
1734,20060103,DIxPRE,874,15.3,M
1735,20060103,DIxPRE,939,15.23,M
1736,20060103,DIxPRE,989,15.14,F
1737,20060103,DIxPRE,1002,15.12,M
1738,20060103,DIxPRE,1125,15.01,M
1739,20060103,DIxPRE,1235,14.91,F
1740,20060103,DIxPRE,1253,14.89,M
1741,20060103,DIxPRE,1377,14.8,M
1742,20060103,DIxPRE,1484,14.74,F
1743,20060103,DIxPRE,1504,14.73,M
1744,20060103,DIxPRE,1731,14.63,F
1745,20060103,DIxPRE,1755,14.62,M
1746,20060103,DIxPRE,1981,14.54,F
1747,20060103,DIxPRE,2008,14.53,M
1748,20060103,DIxPRE,2229,14.47,F
1749,20060103,DIxPRE,2261,14.46,M
1750,20060103,DIxPRE,2476,14.42,F
1751,20060103,DIxPRE,3011,14.33,F
1702,20060104,DIxPRE,1,17.93,F
1703,20060104,DIxPRE,20,17.68,M
1704,20060104,DIxPRE,22,17.65,F
1705,20060104,DIxPRE,38,17.53,M
1706,20060104,DIxPRE,41,17.49,F
1707,20060104,DIxPRE,61,17.32,M
1708,20060104,DIxPRE,62,17.31,F
1709,20060104,DIxPRE,79,17.19,M
1710,20060104,DIxPRE,81,17.16,F
1711,20060104,DIxPRE,103,16.94,F
1712,20060104,DIxPRE,122,16.81,M
1713,20060104,DIxPRE,124,16.8,F
1714,20060104,DIxPRE,144,16.69,F
1715,20060104,DIxPRE,166,16.6,F
1716,20060104,DIxPRE,186,16.53,F
1717,20060104,DIxPRE,206,16.46,F
