,Data do Pregao,Ativo,DU,Taxa,Fixo/Movel
2850,20080102,DIxPRE,1,11.09,F
2851,20080102,DIxPRE,9,11.137,M
2852,20080102,DIxPRE,21,11.14,M
2853,20080102,DIxPRE,22,11.14,F
2854,20080102,DIxPRE,30,11.149,M
2855,20080102,DIxPRE,40,11.155,M
2856,20080102,DIxPRE,41,11.155,F
2857,20080102,DIxPRE,51,11.185,M
2858,20080102,DIxPRE,60,11.203,M
2859,20080102,DIxPRE,61,11.205,F
2860,20080102,DIxPRE,71,11.241,M
2861,20080102,DIxPRE,81,11.268,M
2862,20080102,DIxPRE,82,11.27,F
2863,20080102,DIxPRE,91,11.317,M
2864,20080102,DIxPRE,101,11.36,M
2865,20080102,DIxPRE,102,11.364,F
2866,20080102,DIxPRE,112,11.399,M
2867,20080102,DIxPRE,122,11.427,F
2868,20080102,DIxPRE,123,11.43,M
2869,20080102,DIxPRE,133,11.497,M
2870,20080102,DIxPRE,144,11.56,F
2871,20080102,DIxPRE,145,11.565,M
2872,20080102,DIxPRE,156,11.618,M
2873,20080102,DIxPRE,166,11.66,F
2874,20080102,DIxPRE,177,11.701,M
2875,20080102,DIxPRE,187,11.73,F
2876,20080102,DIxPRE,188,11.737,M
2877,20080102,DIxPRE,189,11.74,M
2878,20080102,DIxPRE,199,11.797,M
2879,20080102,DIxPRE,208,11.84,F
2880,20080102,DIxPRE,211,11.858,M
2881,20080102,DIxPRE,222,11.908,M
2882,20080102,DIxPRE,230,11.94,F
2883,20080102,DIxPRE,231,11.946,M
2884,20080102,DIxPRE,242,11.988,M
2885,20080102,DIxPRE,251,12.02,F
2886,20080102,DIxPRE,253,12.027,M
2887,20080102,DIxPRE,254,12.03,M
2888,20080102,DIxPRE,263,12.077,M
2889,20080102,DIxPRE,270,12.11,F
2890,20080102,DIxPRE,274,12.13,M
2891,20080102,DIxPRE,285,12.179,M
2892,20080102,DIxPRE,290,12.2,F
2893,20080102,DIxPRE,292,12.208,M
2894,20080102,DIxPRE,303,12.251,M
2895,20080102,DIxPRE,312,12.28,F
2896,20080102,DIxPRE,314,12.291,M
2897,20080102,DIxPRE,315,12.295,M
2898,20080102,DIxPRE,324,12.325,M
2899,20080102,DIxPRE,331,12.35,F
2900,20080102,DIxPRE,334,12.357,M
2901,20080102,DIxPRE,344,12.387,M
2902,20080102,DIxPRE,351,12.41,F
2903,20080102,DIxPRE,354,12.416,M
2904,20080102,DIxPRE,364,12.443,M
2905,20080102,DIxPRE,372,12.46,F
2906,20080102,DIxPRE,375,12.471,M
2907,20080102,DIxPRE,376,12.473,M
2908,20080102,DIxPRE,386,12.501,M
2909,20080102,DIxPRE,394,12.52,F
2910,20080102,DIxPRE,409,12.559,M
2911,20080102,DIxPRE,414,12.57,F
2912,20080102,DIxPRE,429,12.605,M
2913,20080102,DIxPRE,435,12.62,F
2914,20080102,DIxPRE,440,12.628,M
2915,20080102,DIxPRE,441,12.63,M
2916,20080102,DIxPRE,450,12.653,M
2917,20080102,DIxPRE,456,12.67,F
2918,20080102,DIxPRE,476,12.71,F
2919,20080102,DIxPRE,497,12.757,F
2920,20080102,DIxPRE,504,12.771,M
2921,20080102,DIxPRE,517,12.79,F
2922,20080102,DIxPRE,537,12.81,F
2923,20080102,DIxPRE,557,12.83,F
2924,20080102,DIxPRE,565,12.84,M
2925,20080102,DIxPRE,578,12.86,F
2926,20080102,DIxPRE,599,12.88,F
2927,20080102,DIxPRE,619,12.9,F
2928,20080102,DIxPRE,627,12.91,M
2929,20080102,DIxPRE,640,12.92,F
2930,20080102,DIxPRE,662,12.93,F
2931,20080102,DIxPRE,683,12.93,F
2932,20080102,DIxPRE,692,12.935,M
2933,20080102,DIxPRE,702,12.93,F
2934,20080102,DIxPRE,722,12.93,F
2935,20080102,DIxPRE,744,12.922,F
2936,20080102,DIxPRE,755,12.92,M
2937,20080102,DIxPRE,765,12.92,F
2938,20080102,DIxPRE,786,12.92,F
2939,20080102,DIxPRE,806,12.92,F
2940,20080102,DIxPRE,817,12.92,M
2941,20080102,DIxPRE,828,12.92,F
2942,20080102,DIxPRE,879,12.925,M
2943,20080102,DIxPRE,944,12.93,M
2944,20080102,DIxPRE,991,12.942,F
2945,20080102,DIxPRE,1006,12.945,M
2946,20080102,DIxPRE,1069,12.935,M
2947,20080102,DIxPRE,1131,12.96,M
2948,20080102,DIxPRE,1195,12.975,M
2949,20080102,DIxPRE,1240,12.964,F
2950,20080102,DIxPRE,1257,12.96,M
2951,20080102,DIxPRE,1489,12.997,F
2952,20080102,DIxPRE,1510,13.0,M
2953,20080102,DIxPRE,1738,13.055,F
2954,20080102,DIxPRE,1763,13.06,M
2955,20080102,DIxPRE,1985,13.06,F
