,Data do Pregao,Ativo,DU,Taxa,Fixo/Movel
11201,20190102,IBOVESPA,1,91095.0,F
11202,20190102,IBOVESPA,3,91159.1,M
11203,20190102,IBOVESPA,8,91266.02,M
11204,20190102,IBOVESPA,9,91287.43,M
11205,20190102,IBOVESPA,10,91308.83,M
11206,20190102,IBOVESPA,12,91351.66,M
11207,20190102,IBOVESPA,13,91373.08,M
11208,20190102,IBOVESPA,18,91480.26,M
11209,20190102,IBOVESPA,20,91523.16,M
11210,20190102,IBOVESPA,21,91544.62,M
11211,20190102,IBOVESPA,22,91566.09,F
11212,20190102,IBOVESPA,23,91587.56,F
11213,20190102,IBOVESPA,28,91694.99,M
11214,20190102,IBOVESPA,30,91738.0,M
11215,20190102,IBOVESPA,32,91776.81,M
11216,20190102,IBOVESPA,33,91796.22,M
11217,20190102,IBOVESPA,34,91815.63,M
11218,20190102,IBOVESPA,40,91932.2,M
11219,20190102,IBOVESPA,41,91951.65,M
11220,20190102,IBOVESPA,42,91971.09,M
11221,20190102,IBOVESPA,43,91990.55,F
11222,20190102,IBOVESPA,48,92087.86,M
11223,20190102,IBOVESPA,50,92126.82,M
11224,20190102,IBOVESPA,51,92146.3,M
11225,20190102,IBOVESPA,54,92204.78,M
11226,20190102,IBOVESPA,60,92321.85,M
11227,20190102,IBOVESPA,61,92341.37,M
11228,20190102,IBOVESPA,62,92360.9,F
11229,20190102,IBOVESPA,71,92536.85,M
11230,20190102,IBOVESPA,73,92576.0,M
11231,20190102,IBOVESPA,80,92712.79,M
11232,20190102,IBOVESPA,81,92732.35,M
11233,20190102,IBOVESPA,82,92751.91,F
11234,20190102,IBOVESPA,91,92928.15,M
11235,20190102,IBOVESPA,94,92986.97,M
11236,20190102,IBOVESPA,97,93045.83,M
11237,20190102,IBOVESPA,103,93163.66,M
11238,20190102,IBOVESPA,104,93183.31,F
11239,20190102,IBOVESPA,111,93321.0,M
11240,20190102,IBOVESPA,114,93379.52,M
11241,20190102,IBOVESPA,116,93418.56,M
11242,20190102,IBOVESPA,117,93438.08,M
11243,20190102,IBOVESPA,121,93516.21,M
11244,20190102,IBOVESPA,122,93535.76,M
11245,20190102,IBOVESPA,123,93555.31,F
11246,20190102,IBOVESPA,133,93751.01,M
11247,20190102,IBOVESPA,139,93868.63,M
11248,20190102,IBOVESPA,144,93966.76,M
11249,20190102,IBOVESPA,145,93986.39,F
11250,20190102,IBOVESPA,146,94006.04,M
11251,20190102,IBOVESPA,155,94183.0,M
11252,20190102,IBOVESPA,156,94203.24,M
11253,20190102,IBOVESPA,158,94243.73,M
11254,20190102,IBOVESPA,166,94405.85,M
11255,20190102,IBOVESPA,167,94426.14,F
11256,20190102,IBOVESPA,168,94446.43,M
11257,20190102,IBOVESPA,178,94649.56,M
11258,20190102,IBOVESPA,182,94730.94,M
11259,20190102,IBOVESPA,188,94853.13,F
11260,20190102,IBOVESPA,189,94873.52,M
11261,20190102,IBOVESPA,199,95077.57,M
11262,20190102,IBOVESPA,200,95098.0,M
11263,20190102,IBOVESPA,203,95159.16,M
11264,20190102,IBOVESPA,209,95281.6,F
11265,20190102,IBOVESPA,210,95302.03,M
11266,20190102,IBOVESPA,211,95322.45,M
11267,20190102,IBOVESPA,212,95342.89,M
11268,20190102,IBOVESPA,222,95547.44,M
11269,20190102,IBOVESPA,230,95711.4,F
11270,20190102,IBOVESPA,231,95731.91,M
11271,20190102,IBOVESPA,232,95752.43,M
11272,20190102,IBOVESPA,233,95772.95,F
11273,20190102,IBOVESPA,242,95957.86,M
11274,20190102,IBOVESPA,244,95999.0,M
11275,20190102,IBOVESPA,251,96152.82,F
11276,20190102,IBOVESPA,253,96196.82,M
11277,20190102,IBOVESPA,262,96395.04,M
11278,20190102,IBOVESPA,270,96571.58,F
11279,20190102,IBOVESPA,282,96837.0,M
11280,20190102,IBOVESPA,285,96906.32,M
11281,20190102,IBOVESPA,290,97021.96,F
11282,20190102,IBOVESPA,293,97091.41,M
11283,20190102,IBOVESPA,303,97323.28,M
11284,20190102,IBOVESPA,308,97439.42,M
11285,20190102,IBOVESPA,312,97532.43,F
11286,20190102,IBOVESPA,315,97602.25,M
11287,20190102,IBOVESPA,324,97812.0,M
