,Data do Pregao,Ativo,DU,Taxa,Fixo/Movel
15629,20160104,DIxPRE,1,14.14,F
15630,20160104,DIxPRE,9,14.338,M
15631,20160104,DIxPRE,11,14.343,M
15632,20160104,DIxPRE,18,14.351,M
15633,20160104,DIxPRE,19,14.351,M
15634,20160104,DIxPRE,20,14.352,M
15635,20160104,DIxPRE,22,14.38,F
15636,20160104,DIxPRE,25,14.413,F
15637,20160104,DIxPRE,28,14.439,M
15638,20160104,DIxPRE,30,14.453,M
15639,20160104,DIxPRE,32,14.466,M
15640,20160104,DIxPRE,36,14.487,M
15641,20160104,DIxPRE,37,14.492,M
15642,20160104,DIxPRE,38,14.496,M
15643,20160104,DIxPRE,39,14.5,M
15644,20160104,DIxPRE,42,14.547,F
15645,20160104,DIxPRE,49,14.636,M
15646,20160104,DIxPRE,51,14.657,M
15647,20160104,DIxPRE,52,14.666,M
15648,20160104,DIxPRE,53,14.676,M
15649,20160104,DIxPRE,54,14.685,M
15650,20160104,DIxPRE,60,14.733,M
15651,20160104,DIxPRE,61,14.74,M
15652,20160104,DIxPRE,62,14.75,F
15653,20160104,DIxPRE,69,14.81,M
15654,20160104,DIxPRE,71,14.826,M
15655,20160104,DIxPRE,72,14.833,M
15656,20160104,DIxPRE,79,14.878,M
15657,20160104,DIxPRE,80,14.884,M
15658,20160104,DIxPRE,81,14.89,M
15659,20160104,DIxPRE,82,14.902,F
15660,20160104,DIxPRE,91,15.002,M
15661,20160104,DIxPRE,101,15.092,M
15662,20160104,DIxPRE,102,15.1,M
15663,20160104,DIxPRE,103,15.106,F
15664,20160104,DIxPRE,112,15.158,M
15665,20160104,DIxPRE,113,15.163,M
15666,20160104,DIxPRE,114,15.168,M
15667,20160104,DIxPRE,122,15.206,M
15668,20160104,DIxPRE,123,15.211,M
15669,20160104,DIxPRE,124,15.215,M
15670,20160104,DIxPRE,125,15.224,F
15671,20160104,DIxPRE,134,15.301,M
15672,20160104,DIxPRE,143,15.367,M
15673,20160104,DIxPRE,144,15.374,M
15674,20160104,DIxPRE,145,15.381,F
15675,20160104,DIxPRE,155,15.445,M
15676,20160104,DIxPRE,157,15.456,M
15677,20160104,DIxPRE,166,15.506,M
15678,20160104,DIxPRE,167,15.511,F
15679,20160104,DIxPRE,168,15.516,M
15680,20160104,DIxPRE,172,15.536,M
15681,20160104,DIxPRE,177,15.559,M
15682,20160104,DIxPRE,178,15.564,M
15683,20160104,DIxPRE,182,15.581,M
15684,20160104,DIxPRE,188,15.606,F
15685,20160104,DIxPRE,189,15.61,M
15686,20160104,DIxPRE,196,15.644,M
15687,20160104,DIxPRE,198,15.653,M
15688,20160104,DIxPRE,207,15.692,M
15689,20160104,DIxPRE,208,15.696,F
15690,20160104,DIxPRE,209,15.7,M
15691,20160104,DIxPRE,218,15.715,M
15692,20160104,DIxPRE,221,15.719,M
15693,20160104,DIxPRE,227,15.728,F
15694,20160104,DIxPRE,228,15.73,M
15695,20160104,DIxPRE,229,15.731,M
15696,20160104,DIxPRE,231,15.734,F
15697,20160104,DIxPRE,238,15.744,M
15698,20160104,DIxPRE,239,15.745,M
15699,20160104,DIxPRE,243,15.75,M
15700,20160104,DIxPRE,249,15.758,F
15701,20160104,DIxPRE,250,15.759,M
15702,20160104,DIxPRE,251,15.76,M
15703,20160104,DIxPRE,261,15.808,M
15704,20160104,DIxPRE,271,15.852,F
15705,20160104,DIxPRE,272,15.856,M
15706,20160104,DIxPRE,273,15.86,M
15707,20160104,DIxPRE,283,15.9,M
15708,20160104,DIxPRE,291,15.93,F
15709,20160104,DIxPRE,295,15.945,M
