,Data do Pregao,Ativo,DU,Taxa,Fixo/Movel
14074,20180102,DIxPRE,1,6.89,F
14075,20180102,DIxPRE,9,6.895,M
14076,20180102,DIxPRE,11,6.895,M
14077,20180102,DIxPRE,13,6.895,M
14078,20180102,DIxPRE,18,6.895,M
14079,20180102,DIxPRE,20,6.895,M
14080,20180102,DIxPRE,21,6.895,M
14081,20180102,DIxPRE,22,6.895,F
14082,20180102,DIxPRE,24,6.877,F
14083,20180102,DIxPRE,29,6.844,M
14084,20180102,DIxPRE,30,6.839,M
14085,20180102,DIxPRE,33,6.825,M
14086,20180102,DIxPRE,35,6.817,M
14087,20180102,DIxPRE,38,6.806,M
14088,20180102,DIxPRE,39,6.803,M
14089,20180102,DIxPRE,40,6.8,M
14090,20180102,DIxPRE,42,6.791,F
14091,20180102,DIxPRE,49,6.765,M
14092,20180102,DIxPRE,50,6.762,M
14093,20180102,DIxPRE,51,6.759,M
14094,20180102,DIxPRE,53,6.754,M
14095,20180102,DIxPRE,54,6.751,M
14096,20180102,DIxPRE,60,6.737,M
14097,20180102,DIxPRE,61,6.735,F
14098,20180102,DIxPRE,71,6.705,M
14099,20180102,DIxPRE,73,6.7,M
14100,20180102,DIxPRE,80,6.684,M
14101,20180102,DIxPRE,81,6.682,M
14102,20180102,DIxPRE,82,6.68,F
14103,20180102,DIxPRE,91,6.667,M
14104,20180102,DIxPRE,96,6.661,M
14105,20180102,DIxPRE,102,6.654,M
14106,20180102,DIxPRE,103,6.653,F
14107,20180102,DIxPRE,111,6.647,M
14108,20180102,DIxPRE,113,6.646,M
14109,20180102,DIxPRE,117,6.644,M
14110,20180102,DIxPRE,122,6.641,M
14111,20180102,DIxPRE,123,6.641,M
14112,20180102,DIxPRE,124,6.64,F
14113,20180102,DIxPRE,134,6.641,M
14114,20180102,DIxPRE,139,6.641,M
14115,20180102,DIxPRE,144,6.642,M
14116,20180102,DIxPRE,145,6.642,F
14117,20180102,DIxPRE,146,6.642,M
14118,20180102,DIxPRE,156,6.655,M
14119,20180102,DIxPRE,167,6.667,F
14120,20180102,DIxPRE,168,6.668,M
14121,20180102,DIxPRE,169,6.669,M
14122,20180102,DIxPRE,178,6.675,M
14123,20180102,DIxPRE,181,6.676,M
14124,20180102,DIxPRE,182,6.677,M
14125,20180102,DIxPRE,187,6.679,M
14126,20180102,DIxPRE,188,6.68,F
14127,20180102,DIxPRE,197,6.683,M
14128,20180102,DIxPRE,199,6.683,M
14129,20180102,DIxPRE,207,6.685,F
14130,20180102,DIxPRE,208,6.686,M
14131,20180102,DIxPRE,209,6.686,M
14132,20180102,DIxPRE,210,6.686,M
14133,20180102,DIxPRE,219,6.714,M
14134,20180102,DIxPRE,227,6.738,F
14135,20180102,DIxPRE,229,6.743,M
14136,20180102,DIxPRE,230,6.746,F
14137,20180102,DIxPRE,237,6.768,M
14138,20180102,DIxPRE,240,6.777,M
14139,20180102,DIxPRE,241,6.78,M
14140,20180102,DIxPRE,247,6.797,M
14141,20180102,DIxPRE,248,6.8,F
14142,20180102,DIxPRE,250,6.805,M
14143,20180102,DIxPRE,259,6.841,M
14144,20180102,DIxPRE,268,6.875,F
14145,20180102,DIxPRE,271,6.886,M
14146,20180102,DIxPRE,280,6.917,M
14147,20180102,DIxPRE,282,6.924,M
14148,20180102,DIxPRE,289,6.946,F
14149,20180102,DIxPRE,292,6.955,M
14150,20180102,DIxPRE,300,6.979,M
14151,20180102,DIxPRE,309,7.005,F
14152,20180102,DIxPRE,311,7.01,M
14153,20180102,DIxPRE,321,7.062,M
14154,20180102,DIxPRE,323,7.073,M
14155,20180102,DIxPRE,330,7.107,F
14156,20180102,DIxPRE,332,7.116,M
14157,20180102,DIxPRE,341,7.158,M
14158,20180102,DIxPRE,349,7.193,F
14159,20180102,DIxPRE,361,7.243,M
14160,20180102,DIxPRE,370,7.279,F
14161,20180102,DIxPRE,373,7.29,M
14162,20180102,DIxPRE,383,7.349,M
14163,20180102,DIxPRE,392,7.399,F
14164,20180102,DIxPRE,405,7.469,M
14165,20180102,DIxPRE,406,7.474,M
14166,20180102,DIxPRE,413,7.509,F
14167,20180102,DIxPRE,428,7.581,M
14168,20180102,DIxPRE,432,7.599,M
14169,20180102,DIxPRE,434,7.608,F
14170,20180102,DIxPRE,439,7.63,M
14171,20180102,DIxPRE,449,7.682,M
14172,20180102,DIxPRE,450,7.688,M
14173,20180102,DIxPRE,456,7.718,F
14174,20180102,DIxPRE,472,7.795,M
14175,20180102,DIxPRE,477,7.818,F
14176,20180102,DIxPRE,494,7.892,M
14177,20180102,DIxPRE,497,7.905,F
14178,20180102,DIxPRE,503,7.93,M
14179,20180102,DIxPRE,512,7.978,M
14180,20180102,DIxPRE,517,8.004,F
14181,20180102,DIxPRE,532,8.079,M
14182,20180102,DIxPRE,535,8.093,M
14183,20180102,DIxPRE,539,8.112,F
14184,20180102,DIxPRE,543,8.131,M
14185,20180102,DIxPRE,553,8.177,M
14186,20180102,DIxPRE,558,8.199,F
14187,20180102,DIxPRE,565,8.23,M
14188,20180102,DIxPRE,574,8.267,M
14189,20180102,DIxPRE,578,8.283,F
14190,20180102,DIxPRE,594,8.345,M
14191,20180102,DIxPRE,598,8.36,F
14192,20180102,DIxPRE,619,8.436,F
14193,20180102,DIxPRE,626,8.46,M
14194,20180102,DIxPRE,636,8.502,M
14195,20180102,DIxPRE,639,8.514,F
14196,20180102,DIxPRE,649,8.554,M
14197,20180102,DIxPRE,659,8.593,M
14198,20180102,DIxPRE,661,8.601,F
14199,20180102,DIxPRE,670,8.634,M
14200,20180102,DIxPRE,679,8.667,M
14201,20180102,DIxPRE,682,8.678,F
14202,20180102,DIxPRE,691,8.71,M
14203,20180102,DIxPRE,700,8.736,M
14204,20180102,DIxPRE,702,8.742,F
14205,20180102,DIxPRE,721,8.795,M
14206,20180102,DIxPRE,722,8.797,F
14207,20180102,DIxPRE,744,8.855,F
14208,20180102,DIxPRE,754,8.88,M
14209,20180102,DIxPRE,763,8.907,M
14210,20180102,DIxPRE,764,8.91,F
14211,20180102,DIxPRE,784,8.967,F
14212,20180102,DIxPRE,792,8.989,M
14213,20180102,DIxPRE,802,9.016,M
14214,20180102,DIxPRE,804,9.021,F
14215,20180102,DIxPRE,815,9.05,M
14216,20180102,DIxPRE,824,9.073,M
14217,20180102,DIxPRE,825,9.076,F
14218,20180102,DIxPRE,835,9.101,M
14219,20180102,DIxPRE,845,9.125,M
14220,20180102,DIxPRE,877,9.2,M
14221,20180102,DIxPRE,887,9.225,M
14222,20180102,DIxPRE,909,9.279,M
14223,20180102,DIxPRE,921,9.307,M
14224,20180102,DIxPRE,930,9.328,M
14225,20180102,DIxPRE,942,9.355,M
14226,20180102,DIxPRE,951,9.372,M
14227,20180102,DIxPRE,971,9.41,M
