,Data do Pregao,Ativo,DU,Taxa,Fixo/Movel
5597,20120102,IBOVESPA,1,57432.0,F
5598,20120102,IBOVESPA,10,57725.42,M
5599,20120102,IBOVESPA,21,58086.08,M
5600,20120102,IBOVESPA,22,58118.98,F
5601,20120102,IBOVESPA,39,58556.57,M
5602,20120102,IBOVESPA,40,58571.96,M
5603,20120102,IBOVESPA,41,58587.35,M
5604,20120102,IBOVESPA,42,58602.74,F
5605,20120102,IBOVESPA,51,58741.45,M
5606,20120102,IBOVESPA,61,58895.95,M
5607,20120102,IBOVESPA,62,58911.43,M
5608,20120102,IBOVESPA,63,58926.9,F
5609,20120102,IBOVESPA,72,59066.38,M
5610,20120102,IBOVESPA,81,59202.41,M
5611,20120102,IBOVESPA,82,59217.43,M
5612,20120102,IBOVESPA,83,59232.45,F
5613,20120102,IBOVESPA,92,59367.78,M
5614,20120102,IBOVESPA,103,59533.61,M
5615,20120102,IBOVESPA,104,59548.71,F
5616,20120102,IBOVESPA,114,59699.8,M
5617,20120102,IBOVESPA,123,59835.76,M
5618,20120102,IBOVESPA,124,59850.89,M
5619,20120102,IBOVESPA,125,59866.02,F
5620,20120102,IBOVESPA,135,60017.52,M
5621,20120102,IBOVESPA,145,60169.4,F
5622,20120102,IBOVESPA,146,60184.61,M
5623,20120102,IBOVESPA,157,60352.174,M
5624,20120102,IBOVESPA,167,60505.71,F
5625,20120102,IBOVESPA,169,60536.46,M
5626,20120102,IBOVESPA,188,60829.41,F
5627,20120102,IBOVESPA,189,60844.86,M
5628,20120102,IBOVESPA,198,60984.16,M
5629,20120102,IBOVESPA,208,61141.32,F
5630,20120102,IBOVESPA,210,61172.9,M
5631,20120102,IBOVESPA,227,61442.02,F
5632,20120102,IBOVESPA,230,61489.63,M
5633,20120102,IBOVESPA,248,61782.08,F
5634,20120102,IBOVESPA,250,61815.19,M
5635,20120102,IBOVESPA,251,61831.76,M
5636,20120102,IBOVESPA,260,61981.03,M
5637,20120102,IBOVESPA,269,62130.66,F
5638,20120102,IBOVESPA,272,62180.61,M
5639,20120102,IBOVESPA,287,62435.89,F
5640,20120102,IBOVESPA,290,62487.93,M
5641,20120102,IBOVESPA,309,62818.5,F
5642,20120102,IBOVESPA,310,62835.95,M
5643,20120102,IBOVESPA,311,62853.4,M
5644,20120102,IBOVESPA,321,63028.19,M
5645,20120102,IBOVESPA,330,63192.15,F
5646,20120102,IBOVESPA,332,63229.04,M
5647,20120102,IBOVESPA,342,63413.82,M
5648,20120102,IBOVESPA,350,63562.03,F
5649,20120102,IBOVESPA,353,63617.69,M
5650,20120102,IBOVESPA,370,63935.65,F
5651,20120102,IBOVESPA,373,63992.17,M
5652,20120102,IBOVESPA,374,64011.02,M
5653,20120102,IBOVESPA,384,64199.85,M
5654,20120102,IBOVESPA,392,64351.31,F
5655,20120102,IBOVESPA,396,64427.18,M
5656,20120102,IBOVESPA,414,64770.39,F
5657,20120102,IBOVESPA,418,64847.1,M
5658,20120102,IBOVESPA,434,65154.87,F
5659,20120102,IBOVESPA,439,65251.34,M
5660,20120102,IBOVESPA,440,65270.65,M
5661,20120102,IBOVESPA,450,65464.09,M
5662,20120102,IBOVESPA,456,65580.68,F
5663,20120102,IBOVESPA,462,65697.52,M
5664,20120102,IBOVESPA,473,65912.28,M
5665,20120102,IBOVESPA,477,65990.55,F
5666,20120102,IBOVESPA,482,66088.51,M
5667,20120102,IBOVESPA,498,66402.04,F
5668,20120102,IBOVESPA,503,66500.35,M
5669,20120102,IBOVESPA,504,66519.81,M
5670,20120102,IBOVESPA,513,66706.45,M
5671,20120102,IBOVESPA,517,66789.81,F
5672,20120102,IBOVESPA,539,67247.73,F
5673,20120102,IBOVESPA,559,67667.24,F
5674,20120102,IBOVESPA,565,67793.96,M
5675,20120102,IBOVESPA,575,68002.61,M
5676,20120102,IBOVESPA,578,68065.18,F
5677,20120102,IBOVESPA,598,68485.78,F
5678,20120102,IBOVESPA,619,68931.0,F
5679,20120102,IBOVESPA,626,69079.12,M
5680,20120102,IBOVESPA,636,69289.5,M
5681,20120102,IBOVESPA,640,69373.97,F
5682,20120102,IBOVESPA,659,69774.39,M
5683,20120102,IBOVESPA,661,69817.12,F
5684,20120102,IBOVESPA,683,70285.01,F
5685,20120102,IBOVESPA,692,70478.32,M
5686,20120102,IBOVESPA,702,70681.92,M
5687,20120102,IBOVESPA,705,70742.06,F
5688,20120102,IBOVESPA,725,71149.84,F
5689,20120102,IBOVESPA,747,71602.82,F
5690,20120102,IBOVESPA,757,71808.22,M
5691,20120102,IBOVESPA,766,72013.6,M
5692,20120102,IBOVESPA,767,72036.05,F
5693,20120102,IBOVESPA,788,72518.46,F
5694,20120102,IBOVESPA,807,72956.65,F
5695,20120102,IBOVESPA,818,73212.16,M
5696,20120102,IBOVESPA,827,73405.39,M
5697,20120102,IBOVESPA,828,73426.41,F
5698,20120102,IBOVESPA,847,73833.72,M
5699,20120102,IBOVESPA,879,74525.4,M
5700,20120102,IBOVESPA,889,74765.51,M
5701,20120102,IBOVESPA,944,76106.85,M
5702,20120102,IBOVESPA,953,76312.98,M
5703,20120102,IBOVESPA,994,77259.14,F
5704,20120102,IBOVESPA,1007,77561.86,M
5705,20120102,IBOVESPA,1016,77770.13,M
5706,20120102,IBOVESPA,1068,78975.69,M
5707,20120102,IBOVESPA,1078,79214.4,M
5708,20120102,IBOVESPA,1131,80498.12,M
5709,20120102,IBOVESPA,1141,80752.44,M
5710,20120102,IBOVESPA,1162,81295.01,M
5711,20120102,IBOVESPA,1196,82175.45,M
5712,20120102,IBOVESPA,1205,82384.87,M
5713,20120102,IBOVESPA,1239,83189.28,F
5714,20120102,IBOVESPA,1258,83641.0,M
5715,20120102,IBOVESPA,1268,83900.82,M
5716,20120102,IBOVESPA,1321,85298.71,M
5717,20120102,IBOVESPA,1330,85536.1,M
5718,20120102,IBOVESPA,1348,86017.52,M
5719,20120102,IBOVESPA,1382,86931.14,M
5720,20120102,IBOVESPA,1392,87204.22,M
5721,20120102,IBOVESPA,1446,88681.61,M
5722,20120102,IBOVESPA,1455,88907.74,M
5723,20120102,IBOVESPA,1487,89725.56,F
5724,20120102,IBOVESPA,1507,90240.6,M
5725,20120102,IBOVESPA,1516,90489.64,M
5726,20120102,IBOVESPA,1568,91931.16,M
5727,20120102,IBOVESPA,1578,92212.75,M
5728,20120102,IBOVESPA,1631,93707.67,M
5729,20120102,IBOVESPA,1641,94006.48,M
5730,20120102,IBOVESPA,1663,94669.32,M
5731,20120102,IBOVESPA,1695,95643.67,M
5732,20120102,IBOVESPA,1704,95916.19,M
5733,20120102,IBOVESPA,1732,96780.18,F
5734,20120102,IBOVESPA,1757,97554.95,M
5735,20120102,IBOVESPA,1766,97815.77,M
5736,20120102,IBOVESPA,1818,99336.42,M
5737,20120102,IBOVESPA,1828,99631.56,M
5738,20120102,IBOVESPA,1880,101180.44,M
5739,20120102,IBOVESPA,1890,101481.05,M
5740,20120102,IBOVESPA,1913,102175.85,M
5741,20120102,IBOVESPA,1946,103181.06,M
5742,20120102,IBOVESPA,1956,103487.61,M
5743,20120102,IBOVESPA,1982,104288.92,F
5744,20120102,IBOVESPA,2010,105158.82,M
5745,20120102,IBOVESPA,2019,105462.78,M
5746,20120102,IBOVESPA,2072,107277.56,M
5747,20120102,IBOVESPA,2081,107589.09,M
5748,20120102,IBOVESPA,2133,109399.83,M
5749,20120102,IBOVESPA,2143,109751.63,M
5750,20120102,IBOVESPA,2166,110566.82,M
5751,20120102,IBOVESPA,2198,111715.49,M
5752,20120102,IBOVESPA,2207,111989.85,M
5753,20120102,IBOVESPA,2228,112631.78,F
5754,20120102,IBOVESPA,2261,113654.74,M
5755,20120102,IBOVESPA,2270,113960.06,M
5756,20120102,IBOVESPA,2322,115740.3,M
5757,20120102,IBOVESPA,2331,116051.23,M
5758,20120102,IBOVESPA,2384,117899.27,M
5759,20120102,IBOVESPA,2394,118251.25,M
5760,20120102,IBOVESPA,2416,119029.29,M
5761,20120102,IBOVESPA,2449,120205.97,M
5762,20120102,IBOVESPA,2458,120528.89,M
5763,20120102,IBOVESPA,2475,121141.23,F
5764,20120102,IBOVESPA,2512,122484.75,M
5765,20120102,IBOVESPA,2522,122850.41,M
5766,20120102,IBOVESPA,2574,124769.53,M
5767,20120102,IBOVESPA,2584,125142.01,M
5768,20120102,IBOVESPA,2636,127096.93,M
5769,20120102,IBOVESPA,2646,127476.36,M
5770,20120102,IBOVESPA,2667,128276.85,M
5771,20120102,IBOVESPA,2701,129583.57,M
5772,20120102,IBOVESPA,2710,129931.69,M
5773,20120102,IBOVESPA,2724,130475.07,F
5774,20120102,IBOVESPA,2763,132000.77,M
5775,20120102,IBOVESPA,2773,132394.84,M
5776,20120102,IBOVESPA,2813,133982.93,M
5777,20120102,IBOVESPA,2826,134503.15,M
5778,20120102,IBOVESPA,2835,134864.48,M
5779,20120102,IBOVESPA,2887,136971.28,M
5780,20120102,IBOVESPA,2897,137380.19,M
5781,20120102,IBOVESPA,2918,138242.88,M
5782,20120102,IBOVESPA,2951,139609.49,M
5783,20120102,IBOVESPA,2960,139984.54,M
5784,20120102,IBOVESPA,2971,140444.31,F
5785,20120102,IBOVESPA,3169,148983.17,M
5786,20120102,IBOVESPA,3220,151265.43,F
5787,20120102,IBOVESPA,3467,162823.21,F
5788,20120102,IBOVESPA,3715,175316.34,F
5789,20120102,IBOVESPA,3837,181809.47,F
5597,20120103,IBOVESPA,1,59032.0,F
5598,20120103,IBOVESPA,9,59274.63,M
5599,20120103,IBOVESPA,20,59609.86,M
5600,20120103,IBOVESPA,21,59640.43,M
5601,20120103,IBOVESPA,22,59671.02,F
