,Data do Pregao,Ativo,DU,Taxa,Fixo/Movel
1587,20070102,DIxPRE,1,13.16,F
1588,20070102,DIxPRE,22,13.09,F
1589,20070102,DIxPRE,42,12.94,F
1590,20070102,DIxPRE,62,12.82,F
1591,20070102,DIxPRE,82,12.72,F
1592,20070102,DIxPRE,104,12.62,F
1593,20070102,DIxPRE,124,12.56,M
1594,20070102,DIxPRE,126,12.55,F
1595,20070102,DIxPRE,145,12.49,F
1596,20070102,DIxPRE,167,12.44,F
1597,20070102,DIxPRE,188,12.41,F
1598,20070102,DIxPRE,207,12.37,F
1599,20070102,DIxPRE,227,12.34,F
1600,20070102,DIxPRE,249,12.31,F
1601,20070102,DIxPRE,250,12.31,M
1602,20070102,DIxPRE,268,12.29,F
1603,20070102,DIxPRE,287,12.27,F
1604,20070102,DIxPRE,308,12.24,F
1605,20070102,DIxPRE,311,12.24,M
1606,20070102,DIxPRE,329,12.23,F
1607,20070102,DIxPRE,347,12.22,F
1608,20070102,DIxPRE,369,12.2,F
1609,20070102,DIxPRE,373,12.2,M
1610,20070102,DIxPRE,391,12.19,F
1611,20070102,DIxPRE,412,12.19,F
1612,20070102,DIxPRE,433,12.18,F
1613,20070102,DIxPRE,439,12.18,M
1614,20070102,DIxPRE,455,12.18,F
1615,20070102,DIxPRE,477,12.17,F
1616,20070102,DIxPRE,497,12.17,F
1617,20070102,DIxPRE,504,12.17,M
1618,20070102,DIxPRE,517,12.17,F
1619,20070102,DIxPRE,539,12.16,F
1620,20070102,DIxPRE,558,12.15,F
1621,20070102,DIxPRE,565,12.15,M
1622,20070102,DIxPRE,578,12.15,F
1623,20070102,DIxPRE,598,12.15,F
1624,20070102,DIxPRE,619,12.14,F
1625,20070102,DIxPRE,626,12.14,M
1626,20070102,DIxPRE,639,12.14,F
1627,20070102,DIxPRE,661,12.14,F
1628,20070102,DIxPRE,682,12.15,F
1629,20070102,DIxPRE,691,12.15,M
1630,20070102,DIxPRE,702,12.15,F
1631,20070102,DIxPRE,722,12.16,F
1632,20070102,DIxPRE,744,12.17,F
1633,20070102,DIxPRE,754,12.17,M
