,Data do Pregao,Ativo,DU,Taxa,Fixo/Movel
246,20000114,DIxPRE,1,18.32,
247,20000114,DIxPRE,21,18.26,
248,20000114,DIxPRE,40,17.99,
249,20000114,DIxPRE,62,18.78,
250,20000114,DIxPRE,82,18.54,
251,20000114,DIxPRE,102,18.94,
252,20000114,DIxPRE,123,19.16,
253,20000114,DIxPRE,145,19.69,
254,20000114,DIxPRE,165,19.72,
255,20000114,DIxPRE,186,20.03,
256,20000114,DIxPRE,206,20.1,
257,20000114,DIxPRE,227,20.12,
258,20000114,DIxPRE,245,20.1,
259,20000114,DIxPRE,267,20.49,
260,20000114,DIxPRE,287,20.64,
261,20000114,DIxPRE,308,20.81,
262,20000114,DIxPRE,327,20.9,
263,20000114,DIxPRE,349,21.15,
264,20000114,DIxPRE,370,21.21,
265,20000114,DIxPRE,390,21.37,
266,20000114,DIxPRE,412,21.56,
267,20000114,DIxPRE,433,21.67,
268,20000114,DIxPRE,452,21.63,
269,20000114,DIxPRE,472,21.71,
270,20000114,DIxPRE,492,21.75,
271,20000114,DIxPRE,514,21.88,
272,20000114,DIxPRE,532,21.93,
273,20000114,DIxPRE,553,22.06,
274,20000114,DIxPRE,574,22.18,
275,20000114,DIxPRE,594,22.21,
276,20000114,DIxPRE,615,22.35,
277,20000114,DIxPRE,637,22.49,
278,20000114,DIxPRE,659,22.57,
279,20000114,DIxPRE,679,22.67,
280,20000114,DIxPRE,701,22.79,
281,20000114,DIxPRE,722,22.86,
282,20000114,DIxPRE,742,22.87,
283,20000114,DIxPRE,762,22.87,
284,20000114,DIxPRE,784,22.91,
285,20000114,DIxPRE,804,22.85,
286,20000114,DIxPRE,821,22.87,
246,20000117,DIxPRE,1,18.52,
247,20000117,DIxPRE,22,19.79,
248,20000117,DIxPRE,42,19.01,
249,20000117,DIxPRE,63,18.92,
250,20000117,DIxPRE,82,18.89,
251,20000117,DIxPRE,104,19.36,
252,20000117,DIxPRE,132,19.43,
253,20000117,DIxPRE,145,19.59,
254,20000117,DIxPRE,166,19.85,
255,20000117,DIxPRE,187,20.06,
256,20000117,DIxPRE,207,20.04,
257,20000117,DIxPRE,227,20.15,
258,20000117,DIxPRE,254,20.17,
259,20000117,DIxPRE,269,20.4,
260,20000117,DIxPRE,287,20.49,
261,20000117,DIxPRE,309,20.8,
262,20000117,DIxPRE,329,20.92,
263,20000117,DIxPRE,350,21.05,
264,20000117,DIxPRE,370,21.18,
265,20000117,DIxPRE,392,21.39,
266,20000117,DIxPRE,413,21.44,
267,20000117,DIxPRE,433,21.57,
268,20000117,DIxPRE,453,21.62,
269,20000117,DIxPRE,474,21.73,
270,20000117,DIxPRE,493,21.68,
271,20000117,DIxPRE,514,21.89,
272,20000117,DIxPRE,534,22.0,
273,20000117,DIxPRE,555,22.09,
274,20000117,DIxPRE,574,22.19,
275,20000117,DIxPRE,595,22.33,
276,20000117,DIxPRE,617,22.5,
277,20000117,DIxPRE,638,22.59,
278,20000117,DIxPRE,659,22.72,
279,20000117,DIxPRE,681,22.86,
280,20000117,DIxPRE,703,22.95,
281,20000117,DIxPRE,722,23.01,
282,20000117,DIxPRE,743,23.07,
283,20000117,DIxPRE,764,23.09,
284,20000117,DIxPRE,785,23.07,
285,20000117,DIxPRE,804,23.03,
286,20000117,DIxPRE,823,23.07,
246,20000118,DIxPRE,1,18.46,
247,20000118,DIxPRE,22,19.78,
248,20000118,DIxPRE,42,18.25,
249,20000118,DIxPRE,62,18.75,
250,20000118,DIxPRE,82,18.86,
251,20000118,DIxPRE,104,19.34,
252,20000118,DIxPRE,131,19.36,
253,20000118,DIxPRE,145,19.6,
254,20000118,DIxPRE,166,19.88,
255,20000118,DIxPRE,187,19.94,
256,20000118,DIxPRE,206,20.05,
257,20000118,DIxPRE,227,20.21,
258,20000118,DIxPRE,253,20.21,
259,20000118,DIxPRE,268,20.43,
260,20000118,DIxPRE,287,20.56,
