,Data do Pregao,Data de Vencimento do Contrato,Indicador de Tipo de Opcao,Preco de Exercicio,Valor da Volatilidade,Valor do Delta
3238,20150102,20150218,C,46000.0,27.9348775,1.0
3239,20150102,20150218,C,47000.0,27.2320789,1.0
3240,20150102,20150218,C,48000.0,26.5445174,1.0
3241,20150102,20150218,C,49000.0,25.8721032,1.0
3242,20150102,20150218,C,50000.0,25.2464806,1.0
3243,20150102,20150218,C,51000.0,24.6596822,1e-07
3244,20150102,20150218,C,52000.0,24.1239651,1e-07
3245,20150102,20150218,C,53000.0,23.6954869,1e-07
3246,20150102,20150218,C,54000.0,23.3761995,1e-07
3247,20150102,20150218,C,55000.0,23.2055839,1e-07
3248,20150102,20150218,C,56000.0,23.0362136,1e-07
3249,20150102,20150218,C,57000.0,23.0747352,1e-07
3250,20150102,20150218,C,58000.0,23.2176118,1e-07
3251,20150102,20150218,C,59000.0,23.361373,1e-07
3252,20150102,20150218,C,60000.0,23.5060244,1e-07
3253,20150102,20150218,C,63000.0,23.78,1e-07
3254,20150102,20150218,C,64000.0,23.78,1e-07
3255,20150102,20150218,C,65000.0,23.78,1e-07
3256,20150102,20150218,C,66000.0,23.78,1e-07
3257,20150102,20150218,C,67000.0,23.78,1.0
3258,20150102,20150218,C,69000.0,23.78,1.0
3259,20150102,20150218,C,61000.0,23.6515714,1e-07
3260,20150102,20150218,C,74000.0,23.78,1.0
3261,20150102,20150218,C,62000.0,23.78,1e-07
3262,20150102,20150218,C,68000.0,23.78,1.0
3263,20150102,20150218,C,40000.0,32.256232,1.0
3264,20150102,20150218,C,41000.0,31.510498,1.0
3265,20150102,20150218,C,42000.0,30.7820046,1.0
3266,20150102,20150218,C,43000.0,30.0703534,1.0
3267,20150102,20150218,C,44000.0,29.3751549,1.0
3268,20150102,20150218,C,45000.0,28.6558139,1.0
3269,20150102,20150218,C,35000.0,33.54,1.0
3270,20150102,20150218,C,36000.0,33.54,1.0
3271,20150102,20150218,C,37000.0,33.54,1.0
3272,20150102,20150218,C,38000.0,33.54,1.0
3273,20150102,20150218,C,39000.0,33.0196147,1.0
3274,20150102,20150218,C,28000.0,33.54,1.0
3275,20150102,20150218,C,29000.0,33.54,1.0
3276,20150102,20150218,C,30000.0,33.54,1.0
3277,20150102,20150218,C,31000.0,33.54,1.0
3278,20150102,20150218,C,32000.0,33.54,1.0
3279,20150102,20150218,C,33000.0,33.54,1.0
3280,20150102,20150218,C,34000.0,33.54,1.0
